Outdoor Drybulb Temperature (C),Outdoor Relative Humidity (%),Diffuse Solar Radiation (W/m2),Direct Solar Radiation (W/m2),6h Outdoor Drybulb Temperature (C),12h Outdoor Drybulb Temperature (C),24h Outdoor Drybulb Temperature (C),6h Outdoor Relative Humidity (%),12h Outdoor Relative Humidity (%),24h Outdoor Relative Humidity (%),6h Diffuse Solar Radiation (W/m2),12h Diffuse Solar Radiation (W/m2),24h Diffuse Solar Radiation (W/m2),6h Direct Solar Radiation (W/m2),12h Direct Solar Radiation (W/m2),24h Direct Solar Radiation (W/m2)
25.4,80.05666666666666,0.0,0.0,25.475191204424146,33.75186042583746,23.617463469345623,82.99892129137783,45.08620810503079,87.99239023116445,51.65437508111201,167.39433995661634,0.0,170.43161510374256,848.6400404252649,0.0
25.3,80.535,0.0,0.0,26.14671828025536,34.3154841014057,28.41860468174345,74.55072693582353,41.80640367460324,87.37252824919206,84.14677243438022,165.08153153890035,0.0,2.046937167207451,833.0387184311384,0.0
25.6,79.1,0.0,0.0,28.35832280638785,34.88799463808479,28.232315947631168,71.04113382954694,38.886349967681625,85.83856092098331,204.55702949345283,159.49518154339472,0.0,100.04865449174578,833.5604869068086,0.0
25.6,79.1,0.0,0.0,28.82201057721555,36.57847259525732,27.342903995770428,61.56055845136927,38.20721529467621,89.80394500843734,335.62493532432075,145.72410995103442,0.0,173.16778927087853,813.240074903692,0.0
25.6,79.1,0.0,0.0,32.62713341047965,37.13837992616253,23.661348161096825,52.45728794029888,37.364298214275244,87.96929983131075,300.3563913282569,130.258532540792,0.0,441.7940931722194,757.7825979349694,0.0
25.0,81.97,0.0,0.0,34.49879222526621,34.84656415317273,26.30856570470052,48.27082009643954,39.50027028037629,85.57418159649075,171.15715651430403,104.36913273652593,0.0,817.2623760512006,650.0823560786225,0.0
25.6,81.55,51.5,169.5,33.885860583174136,34.107957791674764,24.692271380334457,44.77215112900855,41.36171527280639,78.58998311650238,169.57742753334796,74.26682940753994,42.34120919188945,841.6149491164258,405.41966939161415,43.22229149562376
26.7,74.14,83.0,2.0,35.73178820257238,32.24923503428024,26.028470681171427,42.39942484482088,47.35811593533236,76.29488014101035,165.79392451381645,0.0,126.18884579404612,847.7901814187741,0.0,145.15347585590473
27.8,69.52,202.5,99.5,36.62065138232072,31.485277909318192,27.10538150148706,38.83626386819883,55.07457715786962,67.88530239814897,156.40905737905445,0.0,173.51761907720595,823.3696466466049,0.0,519.8833537073988
29.4,61.09,329.5,170.5,37.385403273216944,28.522727668919885,33.47225537899954,36.57385148556581,63.57344338609772,60.89744374338401,143.1719648759366,0.0,190.90792396046223,807.7241389088899,0.0,709.3637592478113
32.2,52.08,299.5,434.0,36.46576849566862,26.63590705083556,34.42932150833141,36.88426799235274,71.7369260695153,53.998072535715714,126.79223792559232,0.0,185.8238741446901,739.771549004156,0.0,794.5531554314642
33.9,47.35,167.0,811.0,35.52531190255116,27.062119234343363,30.18581162081088,39.56457157739878,82.34280984475114,50.68350712980098,104.96698205489731,0.0,184.4959445055842,635.1638715319152,0.0,844.0282318903965
34.4,44.66,166.0,833.0,34.531945530110875,26.36651263168572,35.228081031606365,42.24695607119003,86.04174057317695,42.33568399791289,73.09303564244958,0.0,154.51725335664514,410.3416830876122,0.0,871.8248571388378
35.6,41.8,163.5,830.5,33.39438915715596,25.83355946561004,35.382535402068974,45.61329815921051,83.65680351521648,40.33720986014024,0.0,0.0,158.04279057885128,0.0,0.0,871.8688074684702
36.7,37.93,155.5,815.0,31.336908298583545,26.94274022914229,37.28084549316405,54.441739470690486,83.19380143933036,37.13740434062648,0.0,0.0,147.8639369272462,0.0,0.0,838.1415676366887
36.7,36.55,140.0,788.5,29.490298388112944,26.115223874123284,34.48095250368419,64.18494131707214,84.34777960856188,37.06084844777224,0.0,0.0,140.6478762553571,0.0,0.0,814.8750062650284
36.7,36.55,124.5,728.0,27.925895937350187,24.828422962568343,36.86959500722237,72.0395857440873,87.19174340998627,37.40678457108301,0.0,0.0,129.11424215177516,0.0,0.0,756.5988531340907
35.6,38.81,103.0,620.5,26.62909360821336,24.607426623134018,33.42625477835594,80.63424190613033,86.1130304925076,35.84612280088659,0.0,0.0,107.20297971958855,0.0,0.0,660.3746303184369
33.9,41.33,71.5,400.5,26.25650217272993,26.917352915434893,32.32473465902984,83.67039203091458,79.43227923740739,39.65358375459316,0.0,42.52202444291631,70.64648451788258,0.0,42.47236111104888,437.5877511515845
32.8,45.34,0.0,0.0,26.19868417501121,28.29293488806867,36.30490156009903,82.53097171703533,72.84484697463549,45.67218413778907,0.0,125.03120986468362,0.0,0.0,140.7699619315654,0.0
31.1,53.75,0.0,0.0,25.49348220683089,28.89830952384565,32.320808594543074,80.27366011522497,70.42617476174294,53.3704572606056,0.0,171.36307228806814,0.0,0.0,541.7845980354175,0.0
29.4,63.37,0.0,0.0,25.88132688561485,30.33618410677646,30.790488179784106,84.98334889990817,58.58027938385055,64.74815523679865,0.0,184.76023934054257,0.0,0.0,662.6847829839749,0.0
27.8,71.67,0.0,0.0,24.517894630223385,31.451716296476206,26.10714527203666,85.90827587624642,51.45207177254254,68.42085138105912,0.0,177.7674938571994,0.0,0.0,769.9319160780177,0.0
26.7,79.26,0.0,0.0,24.63344580977152,33.812838365716814,30.32034407426825,84.75051482022445,49.783009029927335,77.42521459631207,0.0,171.88000429204538,0.0,0.0,818.2877502785326,0.0
26.1,82.11,0.0,0.0,26.11007159150392,34.51050944335247,27.83865775362513,77.94948677126388,40.93370042718816,77.84661972012877,41.96323377099114,159.47590339076072,0.0,42.11528302584937,866.1107057502635,0.0
26.1,80.64500000000002,0.0,0.0,26.768302186390976,36.33710481964504,24.73469883615024,72.81891041717472,37.87735973411251,86.02521927525328,127.17457034189238,160.29376650989715,0.0,141.67207630258545,864.1838064840857,0.0
25.8,80.11500000000002,0.0,0.0,27.96487241071326,37.89912859478616,23.113615500985823,68.45655900752843,35.82612308098697,81.61574408062776,169.5526599088888,147.49301683005362,0.0,526.0373872513815,827.7303438996876,0.0
25.3,83.03,0.0,0.0,31.51863735436137,37.12191043637472,24.674924639381896,58.37126449739928,35.72835884461597,85.07219377664197,184.85896889028203,139.17779839316373,0.0,655.0177153602951,796.1334866118408,0.0
25.0,84.51,0.0,0.0,32.139837424982986,35.80973639928809,25.43818095378739,50.98612172712846,35.38435842494257,89.61902999688586,174.67035165968792,120.53172977336448,0.0,778.5529950022495,745.4175167603418,0.0
25.0,83.24000000000002,0.0,0.0,33.795320784619,37.55040996836604,25.418537443816845,49.43091878665635,35.64277098918648,90.969117839456,172.81091088512542,101.46443677212808,0.0,819.341134215307,631.6317004359056,0.0
26.1,76.8,41.0,41.5,35.384206108828984,33.482724785881736,24.266799023213057,40.68887012681759,39.03105483858568,87.7481736083585,155.8802019026698,72.93276174453396,39.77582976265904,860.9862924174073,430.3516466185272,13.661258129640082
27.2,72.0,125.0,139.0,35.76456698659129,34.88195726470253,25.49179453538523,38.68565559171432,43.37680677906647,74.66793961194931,155.61619287957024,0.0,129.5295455510161,853.1667098740706,0.0,41.11338574453888
28.05,67.31,165.5,519.0,37.668881709694006,32.66545778939425,25.799277348454464,35.03345986871354,51.281921647211576,78.48910262087958,149.7940776566667,0.0,229.90528001587748,829.801525536511,0.0,99.7095227414417
31.1,57.5,184.5,648.5,37.21814716936605,30.276654470512355,31.02669353089337,35.00346585360921,59.32357905955004,70.6118871098606,133.2692191142475,0.0,345.9639429005408,800.7813172808393,0.0,272.0542292203492
32.8,50.36,174.0,764.5,37.29535295170241,28.1698488559768,29.910189744545253,35.167813509462384,67.96016847884822,58.187645902995605,121.14137329789158,0.0,288.1572900666601,736.710095788485,0.0,547.243376260832
33.3,48.97,170.0,810.5,36.891093559829855,28.92847193361977,33.71025651486903,35.43893529835849,74.40889374845476,48.54083879226884,102.31409064254488,0.0,260.498112852393,628.6553569816538,0.0,759.8959662298957
36.1,40.67,154.5,846.0,34.83452676833064,26.187241962648574,36.5425627654992,37.61675135643345,77.7453208746624,43.27426014730741,71.21348723618989,0.0,196.58450988747745,421.1939361904902,0.0,797.6639451107677
36.1,37.76,153.5,841.0,32.86788683070116,27.271568138274684,38.32508333342984,43.57477862001684,80.74168173338856,40.55595646195028,0.0,0.0,189.1139034191723,0.0,0.0,823.2530495278495
37.8,34.43,147.0,824.0,31.852143614962387,25.49653792286988,35.43172812286516,51.10476895720248,83.91014867646413,44.33545776704105,0.0,0.0,237.32384169101755,0.0,0.0,733.5281197660979
37.8,34.43,133.0,793.5,29.94210315313556,25.854138448123894,32.76388480491296,59.954680524714895,87.39455146012479,43.020345270600565,0.0,0.0,293.5095053199516,0.0,0.0,502.9719469977071
37.2,34.47,120.0,732.5,29.358784623260444,24.19028348590194,38.338585396670105,68.26715600670906,84.86548298832253,45.19850932074999,0.0,0.0,209.7708047682928,0.0,0.0,548.3152958544129
36.1,35.26,100.0,626.5,28.063478159569,25.361837725760093,33.06960047937952,71.69277078036272,85.39268787351013,49.20836041543577,0.0,0.0,174.98441154038025,0.0,0.0,322.9494208131665
35.0,37.46,69.5,419.0,26.656090084675515,24.90260978688664,35.38427343230553,77.62390828556069,84.05545426275316,53.50391857635417,0.0,39.64526699910545,98.71192203309428,0.0,13.537937564194465,82.08890160800527
33.3,42.74,0.0,0.0,25.65283552640629,27.90944362200407,35.37490902687908,79.40543946946745,77.45233319460405,55.17739489510805,0.0,129.1361513621903,0.0,0.0,41.2587808859729,0.0
32.2,50.51,0.0,0.0,25.325370053664997,26.28195592163649,34.617375510858935,81.67303777889973,74.6719369264613,59.654718230789655,0.0,225.32439261705,0.0,0.0,92.29035954977026,0.0
30.6,59.16,0.0,0.0,24.62010062641221,28.92543316566909,29.545624095797237,85.69617039316329,70.38587234754937,53.925100381012726,0.0,320.5291985217411,0.0,0.0,263.63630759247,0.0
