cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,heating_sp,cooling_sp,comfort_band
3.0851555,0.7388012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0851301383507375,0.0,0.0,0.0,0.0,0.0,13.5,0.0,3.0851555,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.37650564,1.1153069,1.1153069,0.0,1.1153069,1.1153069,0.37650564,-0.0,26.666666,26.666666,26.666666,2.0
3.9209602,0.9119339,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.05371519,4.0851301383507375,0.21943355,0.74682,0.74682,0.0,0.050259046,13.499989787404902,0.6784966111880303,3.9209602,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.37452906,2.269181,2.269181,0.0,1.2864629,1.2864629,0.37452906,-0.0,26.12098,26.11111,26.11111,2.0
3.5196562,0.8185989,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.10714664,4.0851301383507375,0.437708,0.74682,0.74682,0.0,0.10039032,13.499979574802078,1.3552673033445681,3.5196562,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.3732273,2.1745443,2.1745443,0.0,1.1918262,1.1918262,0.3732273,-0.0,26.111391,26.11111,26.11111,2.0
3.0273728,0.70410407,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.16029586,4.0851301383507375,0.65482944,0.74682,0.74682,0.0,0.15039416,13.499969362191528,2.030316506017875,3.0273728,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.38611028,2.0729325,2.0729325,0.0,1.0902144,1.0902144,0.38611028,-0.0,26.111122,26.11111,26.11111,2.0
2.5936222,0.58177716,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.21316433,4.0851301383507375,0.8708041,0.74682,0.74682,0.0,0.20027088,13.499959149573254,2.7036486487428277,2.5936222,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.44177255,2.0062678,2.0062678,0.0,1.0235497,1.0235497,0.44177255,-0.0,26.11111,26.11111,26.11111,2.0
2.3889544,0.55562115,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.26575354,4.0851301383507375,1.0856378,0.74682,0.74682,0.0,0.2500208,13.499948936947252,3.3752680604584575,2.3889544,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.57308716,2.1114264,2.1114264,0.0,1.1287082,1.1287082,0.57308716,-0.0,26.11111,26.11111,26.11111,2.0
2.3294086,0.55782276,0.0,0.0,0.2358981,0.2358981,0.2358981,0.0,0.31806496,4.0851301383507375,1.2993368,0.74682,0.74682,0.0,0.29964426,13.499938724313525,4.045179170673097,2.3294086,-0.0,0.2259894,-0.0,-0.0,0.0,0.74682,0.81814146,2.334459,2.334459,0.0,1.351741,1.375964,0.81814146,-0.024223058,26.11111,26.11111,26.11111,2.0
2.7100537,0.69005734,0.0,0.0,0.0,0.0,0.0,0.0,0.31638485,4.0851301383507375,1.2924733,-0.27,0.0,-0.27,0.27653354,13.499935032107368,3.73318487905657,2.7100537,-0.0,0.0,-0.0,0.27,0.0,0.0,1.431129,1.7472193,1.7472193,0.0,2.0172193,2.1211863,1.431129,-0.103966966,26.11111,26.11111,26.11111,2.0
3.2279756,0.91980076,0.0,0.22782394,0.15252815,-0.085284926,0.0,-0.085284926,0.2941161,4.0851301383507375,1.2015026,-0.27,0.0,-0.27,0.2534816,13.499931339900202,3.4219841514902924,3.2279756,0.081702605,0.0,0.081702605,0.27,0.0,0.0,2.002324,2.5321057,2.5321057,0.0,2.8873906,3.159938,2.002324,-0.27254748,26.11111,26.11111,26.11111,2.0
7.039941,2.0884717,0.0,0.0,0.0,0.0,0.0,0.0,0.2925625,4.0851301383507375,1.195156,-0.27,0.0,-0.27,0.23048824,13.499927647692026,3.111574573348184,7.039941,-0.0,0.0,-0.0,0.27,0.0,0.0,2.6536808,4.015093,4.015093,0.0,4.285093,4.742152,2.6536808,-0.45705926,24.458874,24.444445,24.444445,2.0
